EntrezGeneSymbol,Var_subject,Var_resid,ICC,stable
GMFG,177016959.22259066,5823808.3992733825,0.9681481954215063,TRUE
CARNMT1,26541.96470320073,875.6273314145309,0.9680633029221154,TRUE
DPYSL2,84943055.35525756,2834315.6105127055,0.9677101788384848,TRUE
HK3,1729599.8841323787,58156.07387171415,0.9674697916058737,TRUE
IL26,106295.92947947007,3575.4806588433107,0.967457588335835,TRUE
DLX3,116363.31975406052,3950.8353247376112,0.9671623399412143,TRUE
ABCB8,44737.38002258234,1540.1779966821412,0.9667186847663614,TRUE
DEFB119,9993931.209299058,344098.7505913118,0.9667152492373934,TRUE
ABCG1,398363.9509699225,13716.437970285542,0.9667141695202687,TRUE
PSMC6,747010.2509819899,25766.275277755365,0.9666575337083999,TRUE
MMP14,408213.43043428764,14159.541303130607,0.9664762135586333,TRUE
GNPTG,42106.885896434316,1460.693996862523,0.9664729140236853,TRUE
CEACAM19,60446.37777350887,2103.6219954924386,0.9663689527855929,TRUE
TPTE,199202908.28737673,6948564.760512773,0.9662938874130742,TRUE
MYBPC2,70955195.83531967,2484297.999389215,0.9661721797132663,TRUE
EFCAB12,513.8363361097887,18.0019999617172,0.9661513682998272,TRUE
BLOC1S6,721785.9659301584,25317.817945745403,0.9661120469576543,TRUE
GUCA1B,62937.755229319344,2214.2913286198777,0.9660134800730976,TRUE
SF3A1,918222.3180850438,32441.023930848023,0.9658753814341295,TRUE
DRC3,3505296.729164067,124155.57173445144,0.9657922018416623,TRUE
RND1,118251.8995292514,4203.67932437635,0.965671802267163,TRUE
SMARCAD1,1556703.3676698643,55559.284548042735,0.965539557421607,TRUE
C1orf115,63337.99934035955,2264.9039952115413,0.9654755524519071,TRUE
TMEM8B,18015153.561957702,645951.2186432511,0.965385156654029,TRUE
CLEC2B,58521.43709039248,2103.163995580185,0.9653084068528937,TRUE
BCL9,42651349.79833527,1539927.992796473,0.9651531236531589,TRUE
ZEB1,10258.000609901559,372.11933255787807,0.9649938726399936,TRUE
STON1,5320869881.506339,193225685.98709536,0.964957864146172,TRUE
RASSF4,340227.35048395075,12361.177974030003,0.96494163316064,TRUE
NR5A2,104742.74500259726,3813.6673253402405,0.9648692578949685,TRUE
PRR5L,2151804.524519167,78880.03116886993,0.9646386437886374,TRUE
CCDC90B,40676.397548716755,1494.8906635538465,0.9645519326791901,TRUE
NCSTN,10826.737501908481,398.16999916893155,0.9645279928470936,TRUE
CDH16,251648.97700710566,9254.791980614002,0.9645279483062983,TRUE
NIPSNAP3B,7239777.986892665,266876.5067760014,0.964448009829,TRUE
PBX1,8390.977599543785,310.6713326929418,0.9642974182120807,TRUE
GMDS,589609.0364504439,21877.775954522614,0.9642219987239337,TRUE
A1CF,194041.4000285513,7222.560651614334,0.9641139892745532,TRUE
LRRC75A,1996527.1118749345,74445.55851212774,0.9640528532430059,TRUE
DAP,349778.2976289432,13042.615306194903,0.9640521953360319,TRUE
LEF1,1898.777232141429,70.85266652114706,0.9640274213093243,TRUE
GTF2A1L,5331832.430471324,199045.44758375935,0.9640119612162269,TRUE
TMEM237,36336.50207874213,1368.0153305236213,0.9637174687670863,TRUE
PEX26,83651.85243821506,3150.0939935132155,0.9637094083369335,TRUE
KLK9,13540515.767557895,510056.79428527236,0.9636985046666053,TRUE
QRFP,865953.7961718299,32973.26659924675,0.9633193081342977,TRUE
IFNL4,5134339.863993193,196269.31426616322,0.9631806970455388,TRUE
CCNYL1,51978.40393810618,1991.534662579697,0.9630991860614349,TRUE
LINC00471,1142.2017837695705,43.773999909761564,0.9630903088307936,TRUE
RAP2A,417464.5591905414,16007.336633659495,0.9630718005299439,TRUE
SIX1,8029.608597002647,308.2833327080205,0.9630262258965596,TRUE
PIGY,4403.1663559556555,169.06266632534235,0.9630240161852172,TRUE
CDK2AP1,6522.054478287946,250.5459994891166,0.9630059383672146,TRUE
IGHM|JCHAIN|IGL|IGK,35225344.86033633,1355635.3152073743,0.9629415256589081,TRUE
TMPRSS11A,319313.0459904529,12401.322641381581,0.9626144544400317,TRUE
DOK1,84167181.8558694,3314044.412678255,0.9621170786689148,TRUE
FIBCD1,4235517.7014886765,167261.64899831495,0.962009986037612,TRUE
GBP6,1894886.595512411,74886.83651729103,0.9619820049861644,TRUE
S100Z,29189.739149817953,1154.3119976731127,0.9619591994469546,TRUE
ERCC4,100423.98217624605,3986.752658721893,0.9618166401661346,TRUE
COPS7B,325434.329784696,12937.207973872259,0.9617662642089504,TRUE
TAFA4,72612.78103810656,2887.44866086618,0.9617557632290823,TRUE
TEAD4,3017625.058195589,120365.86575850338,0.9616423792562045,TRUE
OR5AL1,152202.15488050968,6079.1699879325815,0.9615926263380385,TRUE
CLVS1,32269.04694265712,1289.2039974133406,0.9615830991991909,TRUE
MTX2,3403.9457950496935,136.03999972894368,0.9615704673364514,TRUE
ZHX3,105095.60687457341,4200.7286581716635,0.9615656953392264,TRUE
PDX1,1235524.520876264,50279.906567470214,0.9608961475833226,TRUE
MFAP3,34405.11872893868,1402.1693305596173,0.9608412307508533,TRUE
AURKA,140510.17182151508,5728.695988630847,0.9608264473432049,TRUE
TMIGD2,3874135.4129832694,158321.98234968664,0.9607380892522451,TRUE
CENPW,153682.0022159714,6308.15998757059,0.9605715757726074,TRUE
TOP1,24049.380564530966,992.4593313885149,0.9603679547703587,TRUE
MARVELD2,12277.01555692045,506.95799817732336,0.9603442547817874,TRUE
RGS17,259602.2931629286,10722.549294672257,0.9603345767366754,TRUE
ERGIC3,6943.049508321709,286.7793322979235,0.9603338697748003,TRUE
KHDC1,7351.858623032884,304.3853322370232,0.9602435170541411,TRUE
FDFT1,161518.958150552,6697.906642520298,0.9601829064478192,TRUE
DLC1,9111744.478917938,377963.0853043302,0.9601712610481999,TRUE
GRIK2,21981.611312329285,911.8873300578034,0.9601682842669818,TRUE
PERP,16928.83871020326,702.4253308153807,0.9601602398341259,TRUE
TMEM52B,191933.13853225842,7965.587971427673,0.9601518823518829,TRUE
GABPB1,46552.47231570022,1933.2433263782282,0.9601275695165679,TRUE
LY6G5C,227344157.27552056,9444362.013285065,0.9601147807264845,TRUE
TOP3B,2389.40724402428,99.63733297661997,0.9599696470295139,TRUE
ZNF496,29497.676380514826,1230.1099955919233,0.9599675036614929,TRUE
NABP1,7339841.469728352,306497.72557339206,0.9599157560572623,TRUE
CDC73,961753.7702182827,40187.98718948836,0.9598898969003319,TRUE
CENPT,18867.9666157399,791.2613305150576,0.9597511492985261,TRUE
ASAP2,1178542.244872067,49627.543157407636,0.9595922781677996,TRUE
SOX21,702891495.4466733,29703831.234401498,0.9594539711726381,TRUE
FOXP1,356867.30155235017,15092.585946598645,0.9594241571367254,TRUE
CDC34,1304968.2690681303,55195.53647013,0.9594199343892352,TRUE
ZFP91,7909573.964194603,334668.14214802854,0.9594058328429542,TRUE
CLDND2,7443.723622595854,315.6653322182125,0.9593182744084032,TRUE
NHLRC3,1326595.9861910136,56300.47113409798,0.9592880068237372,TRUE
CCDC24,5027.7857119401015,214.1139992438197,0.9591533583164528,TRUE
